doi,venues,years,title,download_policy
10.1145/3592093,SIGGRAPH; TOG,2023,HACK: Learning a Parametric Head and Neck Model for High-fidelity Animation,download_once_by_doi
10.1145/3592094,SIGGRAPH; TOG,2023,DreamFace: Progressive Generation of Animatable 3D Faces under Text Guidance,download_once_by_doi
10.1145/3592095,SIGGRAPH; TOG,2023,Masonry Shell Structures with Discrete Equivalence Classes,download_once_by_doi
10.1145/3592096,SIGGRAPH; TOG,2023,Generating Activity Snippets by Learning Human-Scene Interactions,download_once_by_doi
10.1145/3592097,SIGGRAPH; TOG,2023,GestureDiffuCLIP: Gesture Diffusion Model with CLIP Latents,download_once_by_doi
10.1145/3592098,SIGGRAPH; TOG,2023,Generalizing Shallow Water Simulations with Dispersive Surface Waves,download_once_by_doi
10.1145/3592099,SIGGRAPH; TOG,2023,"EgoLocate: Real-time Motion Capture, Localization, and Mapping with Sparse Body-mounted Sensors",download_once_by_doi
10.1145/3592100,SIGGRAPH; TOG,2023,SketchFaceNeRF: Sketch-based Facial Generation and Editing in Neural Radiance Fields,download_once_by_doi
10.1145/3592101,SIGGRAPH; TOG,2023,AvatarReX: Real-time Expressive Full-body Avatars,download_once_by_doi
10.1145/3592102,SIGGRAPH; TOG,2023,A Temporal Coherent Topology Optimization Approach for Assembly Planning of Bespoke Frame Structures,download_once_by_doi
10.1145/3592103,SIGGRAPH; TOG,2023,Locally Attentional SDF Diffusion for Controllable 3D Shape Generation,download_once_by_doi
10.1145/3592104,SIGGRAPH; TOG,2023,Second-order Stencil Descent for Interior-point Hyperelasticity,download_once_by_doi
10.1145/3592105,SIGGRAPH; TOG,2023,Variational quasi-harmonic maps for computing diffeomorphisms,download_once_by_doi
10.1145/3592106,SIGGRAPH; TOG,2023,CT2Hair: High-Fidelity 3D Hair Modeling using Computed Tomography,download_once_by_doi
10.1145/3592107,SIGGRAPH; TOG,2023,Unsupervised Learning of Robust Spectral Shape Matching,download_once_by_doi
10.1145/3592108,SIGGRAPH; TOG,2023,Potentially Visible Hidden-Volume Rendering for Multi-View Warping,download_once_by_doi
10.1145/3592109,SIGGRAPH; TOG,2023,A Practical Walk-on-Boundary Method for Boundary Value Problems,download_once_by_doi
10.1145/3592110,SIGGRAPH; TOG,2023,Split-Lohmann Multifocal Displays,download_once_by_doi
10.1145/3592111,SIGGRAPH; TOG,2023,Language-based Photo Color Adjustment for Graphic Designs,download_once_by_doi
10.1145/3592112,SIGGRAPH; TOG,2023,Beyond Chainmail: Computational Modeling of Discrete Interlocking Materials,download_once_by_doi
10.1145/3592113,SIGGRAPH; TOG,2023,ScanBot: Autonomous Reconstruction via Deep Reinforcement Learning,download_once_by_doi
10.1145/3592114,SIGGRAPH; TOG,2023,Differentiable Stripe Patterns for Inverse Design of Structured Surfaces,download_once_by_doi
10.1145/3592115,SIGGRAPH; TOG,2023,A Contact Proxy Splitting Method for Lagrangian Solid-Fluid Coupling,download_once_by_doi
10.1145/3592116,SIGGRAPH; TOG,2023,Attend-and-Excite: Attention-Based Semantic Guidance for Text-to-Image Diffusion Models,download_once_by_doi
10.1145/3592117,SIGGRAPH; TOG,2023,Contact Edit: Artist Tools for Intuitive Modeling of Hand-Object Interactions,download_once_by_doi
10.1145/3592118,SIGGRAPH; TOG,2023,Eventfulness for Interactive Video Alignment,download_once_by_doi
10.1145/3592119,SIGGRAPH; TOG,2023,Example-Based Procedural Modeling Using Graph Grammars,download_once_by_doi
10.1145/3592120,SIGGRAPH; TOG,2023,Pyramid Texture Filtering,download_once_by_doi
10.1145/3592121,SIGGRAPH; TOG,2023,"Coupling Conduction, Convection and Radiative Transfer in a Single Path-Space: Application to Infrared Rendering",download_once_by_doi
10.1145/3592122,SIGGRAPH; TOG,2023,ArrangementNet: Learning Scene Arrangements for Vectorized Indoor Scene Modeling,download_once_by_doi
10.1145/3592123,SIGGRAPH; TOG,2023,Word-As-Image for Semantic Typography,download_once_by_doi
10.1145/3592124,SIGGRAPH; TOG,2023,Computational Long Exposure Mobile Photography,download_once_by_doi
10.1145/3592125,SIGGRAPH; TOG,2023,B-rep Matching for Collaborating Across CAD Systems,download_once_by_doi
10.1145/3592126,SIGGRAPH; TOG,2023,"Dense, Interlocking-Free and Scalable Spectral Packing of Generic 3D Objects",download_once_by_doi
10.1145/3592127,SIGGRAPH; TOG,2023,Film Grain Rendering and Parameter Estimation,download_once_by_doi
10.1145/3592128,SIGGRAPH; TOG,2023,Image vectorization and editing via linear gradient layer decomposition,download_once_by_doi
10.1145/3592129,SIGGRAPH; TOG,2023,Globally Consistent Normal Orientation for Point Clouds by Regularizing the Winding-Number Field,download_once_by_doi
10.1145/3592130,SIGGRAPH; TOG,2023,StripMaker: Perception-driven Learned Vector Sketch Consolidation,download_once_by_doi
10.1145/3592131,SIGGRAPH; TOG,2023,OctFormer: Octree-based Transformers for 3D Point Clouds,download_once_by_doi
10.1145/3592132,SIGGRAPH; TOG,2023,End-to-end Procedural Material Capture with Proxy-Free Mixed-Integer Optimization,download_once_by_doi
10.1145/3592133,SIGGRAPH; TOG,2023,Encoder-based Domain Tuning for Fast Personalization of Text-to-Image Models,download_once_by_doi
10.1145/3592134,SIGGRAPH; TOG,2023,NeRO: Neural Geometry and BRDF Reconstruction of Reflective Objects from Multiview Images,download_once_by_doi
10.1145/3592135,SIGGRAPH; TOG,2023,Dictionary Fields: Learning a Neural Basis Decomposition,download_once_by_doi
10.1145/3592136,SIGGRAPH; TOG,2023,Shortest Path to Boundary for Self-Intersecting Meshes,download_once_by_doi
10.1145/3592137,SIGGRAPH; TOG,2023,Meso-Facets for Goniochromatic 3D Printing,download_once_by_doi
10.1145/3592138,SIGGRAPH; TOG,2023,Fluid-Solid Coupling in Kinetic Two-Phase Flow Simulation,download_once_by_doi
10.1145/3592139,SIGGRAPH; TOG,2023,Recursive Control Variates for Inverse Rendering,download_once_by_doi
10.1145/3592140,SIGGRAPH; TOG,2023,Evolutionary Piecewise Developable Approximations,download_once_by_doi
10.1145/3592141,SIGGRAPH; TOG,2023,Neural Volumetric Reconstruction for Coherent Synthetic Aperture Sonar,download_once_by_doi
10.1145/3592142,SIGGRAPH; TOG,2023,Scratch-based Reflection Art via Differentiable Rendering,download_once_by_doi
10.1145/3592143,SIGGRAPH; TOG,2023,Sag-Free Initialization for Strand-Based Hybrid Hair Simulation,download_once_by_doi
10.1145/3592144,SIGGRAPH; TOG,2023,∇-Prox: Differentiable Proximal Algorithm Modeling for Large-Scale Optimization,download_once_by_doi
10.1145/3592145,SIGGRAPH; TOG,2023,Rhizomorph: The Coordinated Function of Shoots and Roots,download_once_by_doi
