paper_id,venue,venue_type,year,track,title,authors,abstract,abstract_source_name,abstract_source_url,abstract_source_tier,abstract_fetched_at,doi,arxiv_id,paper_url,pdf_url,source_name,source_url,source_tier,verification_status,list_status,fetched_at
10.1016/j.artint.2026.104605,AIJ,journal,2026,continuous publication,The Model Counting Competitions 2021–2023,Johannes K. Fichte; Markus Hecher,,,,,,10.1016/j.artint.2026.104605,,https://doi.org/10.1016/j.artint.2026.104605,,Crossref publisher-registered metadata (ISSN 0004-3702),https://www.sciencedirect.com/journal/artificial-intelligence,official_plus_secondary,rolling,rolling,2026-09-01T13:21:32+00:00
10.1016/j.artint.2026.104606,AIJ,journal,2026,continuous publication,Posterior-Conditioned Multi-Agent Reinforcement Learning for Adaptive Cyber Defense,Armita Kazeminajafabadi; Amirhossein Ravari; Nathaniel D. Bastian; Tian Lan; Mahdi Imani,,,,,,10.1016/j.artint.2026.104606,,https://doi.org/10.1016/j.artint.2026.104606,,Crossref publisher-registered metadata (ISSN 0004-3702),https://www.sciencedirect.com/journal/artificial-intelligence,official_plus_secondary,rolling,rolling,2026-09-01T13:21:32+00:00
10.1016/j.artint.2025.104440,AIJ,journal,2026,volume 350,Kernel-bounded clustering: Achieving the objective of spectral clustering without eigendecomposition,Hang Zhang; Kai Ming Ting; Ye Zhu,,,,,,10.1016/j.artint.2025.104440,,https://doi.org/10.1016/j.artint.2025.104440,,Crossref publisher-registered metadata (ISSN 0004-3702),https://www.sciencedirect.com/journal/artificial-intelligence,official_plus_secondary,rolling,rolling,2026-09-01T13:21:32+00:00
10.1016/j.artint.2025.104441,AIJ,journal,2026,volume 350,A General Theoretical Framework for Learning Smallest Interpretable Models,Sebastian Ordyniak; Giacomo Paesani; Mateusz Rychlicki; Stefan Szeider,"We develop a general algorithmic framework that allows us to obtain fixed-parameter tractability for computing smallest symbolic models that represent given data. Our framework applies to all ML model types that admit a certain extension property. By establishing this extension property for decision trees, decision sets, decision lists, and binary decision diagrams, we obtain that minimizing these fundamental model types is fixed-parameter tractable. Our framework even applies to ensembles, which combine individual models by majority decision.",OpenAlex,https://openalex.org/W4415555834,third_party_crosschecked,2026-08-13T09:37:42+00:00,10.1016/j.artint.2025.104441,,https://doi.org/10.1016/j.artint.2025.104441,,Crossref publisher-registered metadata (ISSN 0004-3702),https://www.sciencedirect.com/journal/artificial-intelligence,official_plus_secondary,rolling,rolling,2026-09-01T13:21:32+00:00
10.1016/j.artint.2025.104442,AIJ,journal,2026,volume 350,Online POMDP planning with anytime deterministic optimality guarantees,Moran Barenboim; Vadim Indelman,"Decision-making under uncertainty is a critical aspect of many practical autonomous systems due to incomplete information. Partially Observable Markov Decision Processes (POMDPs) offer a mathematically principled framework for formulating decision-making problems under such conditions. However, finding an optimal solution for a POMDP is generally intractable. In recent years, there has been a significant progress of scaling approximate solvers from small to moderately sized problems, using online tree search solvers. Often, such approximate solvers are limited to probabilistic or asymptotic guarantees towards the optimal solution. In this paper, we derive a deterministic relationship for discrete POMDPs between an approximated and the optimal solution. We show that at any time, we can derive bounds that relate between the existing solution and the optimal one. We show that our derivations provide an avenue for a new set of algorithms and can be attached to existing algorithms that have a certain structure to provide them with deterministic guarantees with marginal computational overhead. In return, not only do we certify the solution quality, but we demonstrate that making a decision based on the deterministic guarantee may result in superior performance compared to the original algorithm without the deterministic certification.",OpenAlex,https://openalex.org/W4415529158,third_party_crosschecked,2026-08-13T09:37:42+00:00,10.1016/j.artint.2025.104442,,https://doi.org/10.1016/j.artint.2025.104442,,Crossref publisher-registered metadata (ISSN 0004-3702),https://www.sciencedirect.com/journal/artificial-intelligence,official_plus_secondary,rolling,rolling,2026-09-01T13:21:32+00:00
10.1016/j.artint.2025.104443,AIJ,journal,2026,volume 350,Bridging sparse domain semantics via an asymmetric siamese framework with virtual anchor guidance for domain-specific multimodal translation,Junjun Guo; Yifan Liu; Zhengtao Yu,,,,,,10.1016/j.artint.2025.104443,,https://doi.org/10.1016/j.artint.2025.104443,,Crossref publisher-registered metadata (ISSN 0004-3702),https://www.sciencedirect.com/journal/artificial-intelligence,official_plus_secondary,rolling,rolling,2026-09-01T13:21:32+00:00
10.1016/j.artint.2025.104453,AIJ,journal,2026,volume 350,Many-objective problems where crossover is provably essential,Andre Opris,,,,,,10.1016/j.artint.2025.104453,,https://doi.org/10.1016/j.artint.2025.104453,,Crossref publisher-registered metadata (ISSN 0004-3702),https://www.sciencedirect.com/journal/artificial-intelligence,official_plus_secondary,rolling,rolling,2026-09-01T13:21:32+00:00
10.1016/s0004-3702(25)00183-3,AIJ,journal,2026,volume 350,Editorial Board,,,,,,,10.1016/s0004-3702(25)00183-3,,https://doi.org/10.1016/s0004-3702(25)00183-3,,Crossref publisher-registered metadata (ISSN 0004-3702),https://www.sciencedirect.com/journal/artificial-intelligence,official_plus_secondary,rolling,rolling,2026-09-01T13:21:32+00:00
10.1016/j.artint.2025.104454,AIJ,journal,2026,volume 351,Federated neural nonparametric point processes,Hui Chen; Xuhui Fan; Hengyu Liu; Yaqiong Li; Zhilin Zhao; Feng Zhou; Christopher John Quinn; Longbing Cao,"Temporal point processes (TPPs) are effective for modeling event occurrences over time but struggle with sparse and uncertain events in federated systems, where privacy is a major concern. To address this, we propose FedPP , a federated neural nonparametric point process model. FedPP integrates neural embeddings into sigmoidal Gaussian Cox processes (SGCPs) on the client side. SGCPs is a flexible and expressive class of TPPs, allowing FedPP to generate highly flexible intensity functions that capture client-specific event dynamics and uncertainties while efficiently summarizing historical records. For global aggregation, FedPP introduces a divergence-based mechanism to communicate the distributions of kernel hyperparameters in SGCPs between the server and clients, while keeping client-specific parameters local to ensure privacy and personalization. FedPP effectively captures event uncertainty and sparsity. Extensive experiments demonstrate its superior performance in federated settings, showing global aggregation with the KL divergence and the Wasserstein distance.",OpenAlex,https://openalex.org/W4403346587,third_party_crosschecked,2026-08-13T09:37:42+00:00,10.1016/j.artint.2025.104454,,https://doi.org/10.1016/j.artint.2025.104454,,Crossref publisher-registered metadata (ISSN 0004-3702),https://www.sciencedirect.com/journal/artificial-intelligence,official_plus_secondary,rolling,rolling,2026-09-01T13:21:32+00:00
10.1016/j.artint.2025.104455,AIJ,journal,2026,volume 351,Disentangling data distribution for optimal and communication-efficient federated learning,Xinyuan Zhao; Hanlin Gu; Lixin Fan; Yuxing Han; Qiang Yang,,,,,,10.1016/j.artint.2025.104455,,https://doi.org/10.1016/j.artint.2025.104455,,Crossref publisher-registered metadata (ISSN 0004-3702),https://www.sciencedirect.com/journal/artificial-intelligence,official_plus_secondary,rolling,rolling,2026-09-01T13:21:32+00:00
